,dt,period
1,12/22/2020,1
2,12/23/2020,2
3,12/24/2020,3
4,12/25/2020,4
5,12/26/2020,5
6,12/27/2020,6
7,12/28/2020,7
8,12/29/2020,8
9,12/30/2020,9
10,12/31/2020,10
11,1/1/2021,11
12,1/2/2021,12
13,1/3/2021,13
14,1/4/2021,14
15,1/5/2021,15
16,1/6/2021,16
17,1/7/2021,17
18,1/8/2021,18
19,1/9/2021,19
20,1/10/2021,20
21,1/11/2021,21
22,1/12/2021,22
23,1/13/2021,23
24,1/14/2021,24
25,1/15/2021,25
26,1/16/2021,26
27,1/17/2021,27
28,1/18/2021,28
29,1/19/2021,29
30,1/20/2021,30
31,1/21/2021,31
32,1/22/2021,32
33,1/23/2021,33
34,1/24/2021,34
35,1/25/2021,35
36,1/26/2021,36
37,1/27/2021,37
38,1/28/2021,38
39,1/29/2021,39
40,1/30/2021,40
41,1/31/2021,41
42,2/1/2021,42
43,2/2/2021,43
44,2/3/2021,44
45,2/4/2021,45
46,2/5/2021,46
47,2/6/2021,47
48,2/7/2021,48
49,2/8/2021,49
50,2/9/2021,50
51,2/10/2021,51
52,2/11/2021,52
53,2/12/2021,53
54,2/13/2021,54
55,2/14/2021,55
56,2/15/2021,56
57,2/16/2021,57
58,2/17/2021,58
59,2/18/2021,59
60,2/19/2021,60
61,2/20/2021,61
62,2/21/2021,62
63,2/22/2021,63
64,2/23/2021,64
65,2/24/2021,65
66,2/25/2021,66
67,2/26/2021,67
68,2/27/2021,68
69,2/28/2021,69
70,3/1/2021,70
71,3/2/2021,71
72,3/3/2021,72
73,3/4/2021,73
74,3/5/2021,74
75,3/6/2021,75
76,3/7/2021,76
77,3/8/2021,77
78,3/9/2021,78
79,3/10/2021,79
80,3/11/2021,80
81,3/12/2021,81
82,3/13/2021,82
83,3/14/2021,83
84,3/15/2021,84
85,3/16/2021,85
86,3/17/2021,86
87,3/18/2021,87
88,3/19/2021,88
89,3/20/2021,89
90,3/21/2021,90
91,3/22/2021,91
92,3/23/2021,92
93,3/24/2021,93
94,3/25/2021,94
95,3/26/2021,95
96,3/27/2021,96
97,3/28/2021,97
98,3/29/2021,98
99,3/30/2021,99
100,3/31/2021,100
101,4/1/2021,101
102,4/2/2021,102
103,4/3/2021,103
104,4/4/2021,104
105,4/5/2021,105
106,4/6/2021,106
107,4/7/2021,107
108,4/8/2021,108
109,4/9/2021,109
110,4/10/2021,110
111,4/11/2021,111
112,4/12/2021,112
113,4/13/2021,113
114,4/14/2021,114
115,4/15/2021,115
116,4/16/2021,116
117,4/17/2021,117
118,4/18/2021,118
119,4/19/2021,119
120,4/20/2021,120
121,4/21/2021,121
122,4/22/2021,122
123,4/23/2021,123
124,4/24/2021,124
125,4/25/2021,125
126,4/26/2021,126
127,4/27/2021,127
128,4/28/2021,128
129,4/29/2021,129
130,4/30/2021,130
131,5/1/2021,131
132,5/2/2021,132
133,5/3/2021,133
134,5/4/2021,134
135,5/5/2021,135
136,5/6/2021,136
137,5/7/2021,137
138,5/8/2021,138
139,5/9/2021,139
140,5/10/2021,140
141,5/11/2021,141
142,5/12/2021,142
143,5/13/2021,143
144,5/14/2021,144
145,5/15/2021,145
146,5/16/2021,146